id,all_avg
010309001192,3.1761
010309001193,2.8539
010309001195,2.4682
010309001592,2.8520
010312001199,3.6081
010312002100,6.2811
010315001201,2.2758
010315001203,3.7501
010315001204,2.8311
010315001205,4.5562
010315001208,5.2386
010315001724,2.9661
010318000577,3.4995
010318001209,2.7940
010318001210,5.2400
010318001211,6.1925
010318001212,3.2481
010318001215,4.6555
010318001216,4.8559
010318001226,5.0751
010318001443,3.6949
010318001599,2.8600
010318001756,5.2270
010318001805,3.6294
010318001806,2.7162
010318002086,5.8494
010321000038,4.2646
010321001228,2.6424
010321001229,-9999.0000
010321001231,2.8430
010321001234,4.6189
010321001857,4.4772
010324001236,4.8755
010324001601,2.5001
010327001239,2.7462
010327001240,4.5553
010327001241,3.0419
010327002138,2.2330
010330001247,3.0726
010330001701,5.1755
010333001603,5.9399
010333001807,4.8872
010336000584,5.0759
010336001250,2.7690
010336001251,3.2319
010336001252,2.2221
010336001255,4.0196
010336001256,2.0020
010336001257,2.5547
010336001260,1.8648
010336001266,2.6276
010336001268,4.5082
010336001269,2.8748
010336001271,1.7943
010336001610,5.6352
010336001632,5.3079
010336001881,4.5295
010336001886,4.6592
010336001889,7.9624
010336002134,2.1579
010336002143,8.9718
010336002145,5.2986
010339001272,1.9377
010339001273,3.5470
010339001275,3.0960
010339001276,2.3918
010339001277,2.6344
010339001278,5.1492
010339001279,3.8378
010339001280,6.1241
010339001283,2.6217
010339001284,3.3304
010339001285,2.6746
010339001286,-9999.0000
010339001289,5.9543
010339001292,3.5251
010339001293,3.7392
010339001294,3.5231
010339001295,4.2333
010339001462,6.5997
010339001540,5.7672
010339001633,4.3252
010339001702,2.7864
010339001882,6.0072
010339001887,4.3046
010339002087,6.3079
010339002088,4.5804
010339002154,5.7595
010339002350,-9999.0000
010342001298,4.3514
010342001299,3.4197
010343001301,8.8922
010343001302,-9999.0000
010343001303,-9999.0000
010343001425,6.4178
010343001757,5.8959
010343002103,5.3874
010343002135,9.0297
010345000131,4.6866
010345001305,6.0337
010345001307,3.0893
010345001309,2.6367
010345001315,2.8457
010345001317,5.1331
010345001319,4.2722
010345001320,5.4786
010345001321,3.7812
010345001322,5.4268
010345001324,3.4223
010345001325,4.9966
010345001326,3.6213
010345001329,3.9612
010345001611,5.3711
010345001703,5.6778
010345002377,-9999.0000
010348001332,1.8408
010348001333,3.8892
010348001335,4.7825
010348001336,3.5892
010348001337,4.7807
010348001338,3.8366
010348001339,4.4172
010351000325,2.5292
010351001342,3.3898
010351001344,2.2931
010351001353,3.1217
010351001809,4.2914
010354000343,6.7600
010354001613,4.6075
010358001356,6.2485
010358001358,2.6516
010358001359,-9999.0000
010358001360,4.6014
010358001463,3.9998
010358001464,5.1459
010358001465,4.5896
010358001466,4.3994
020000100206,0.3276
020000100207,2.0480
020000100208,5.6888
020000100209,1.1206
020000100210,1.5980
020000100211,1.6303
020000100212,1.7945
020000100213,0.7022
020000100214,1.5208
020000100329,2.2311
020000100389,1.8460
020000100391,1.7506
020000100392,1.7998
020000100406,0.8269
020000100408,3.5698
020000100409,1.4059
020000100438,1.2721
020000100439,2.2287
020000100440,1.1649
020000100441,2.2264
020000100474,1.0700
020000100476,2.7700
020000100619,1.5377
020000300216,1.8518
020000300217,1.9991
020000300218,1.6720
020000300219,0.8911
020000300220,1.8317
020000300222,3.1603
020000300410,1.4981
020000300411,1.6556
020000300412,1.6205
020000300413,2.0073
020000400579,0.4858
020000400623,0.7354
020000400624,1.6642
020000500582,2.0418
020000700177,4.7083
020000700461,4.8577
020002000012,2.4848
020002000013,3.1858
020002000014,1.9418
020002000015,2.9757
020002000016,4.4765
020002000017,4.9234
020002000019,4.6443
020002000421,2.9947
020002000422,3.1920
020002000423,1.5820
020002000466,2.9197
020002000467,3.0222
020002000468,1.9163
