id,m_grd
0903360,1.0462
0903390,1.1057
0903420,1.0429
0903450,0.9311
0903480,0.9453
0903510,0.9639
0903515,0.9961
0903520,0.8730
0903530,0.7609
0903535,0.9424
0903536,0.8150
0903537,0.9390
0903538,0.8803
0903539,0.9381
0903540,1.0387
0903810,0.9958
0903840,0.9531
0903900,1.0611
0903990,0.8684
0904050,0.9916
0904080,0.9307
0904110,0.9490
0904140,1.0934
0904170,1.0792
0904230,0.8476
0904260,1.0401
0904290,1.1338
0904320,0.8694
0904350,0.8604
0904380,0.9739
0904440,0.7690
0904470,0.9525
0904500,0.9478
0904530,0.6580
0904560,1.0917
0904590,0.7944
0904620,0.9916
0904680,0.8198
0904740,0.8815
0904830,0.5893
0904860,0.9331
0904890,0.9237
0904920,0.8626
0904950,0.8638
0904980,1.0476
0905010,0.9324
0905040,1.0589
0905070,0.9390
0905100,1.0892
0905130,0.9574
0905160,1.1624
0905190,0.7082
0905220,0.9067
0905250,0.7803
0905280,0.8652
0905310,1.1725
0905370,1.0461
1000080,0.9827
1000170,1.0512
1000180,0.8434
1000190,0.7920
1000200,0.6934
1000230,0.8437
1000270,1.0683
1000680,0.8774
1000790,0.9374
1000810,0.8025
1001080,0.7011
1001240,0.8596
1001300,0.9739
1001530,0.7891
1001620,0.7711
1001850,0.5210
1100030,0.9353
1200030,0.8463
1200060,0.7259
1200090,0.7919
1200120,0.7297
1200150,0.8596
1200180,0.8326
1200210,0.7412
1200240,0.7147
1200270,0.7821
1200300,0.7933
1200330,0.9378
1200360,0.7214
1200390,0.8180
1200420,0.6057
1200450,0.7960
1200480,0.8147
1200510,0.7391
1200540,0.8438
1200570,0.7845
1200600,0.7344
1200630,0.8672
1200660,0.7758
1200690,0.7773
1200720,0.7390
1200750,0.5737
1200780,0.6568
1200810,0.8084
1200840,0.7868
1200870,0.8259
1200900,0.8118
1200930,0.7826
1200960,0.7543
1200990,0.7125
1201020,0.9021
1201050,0.7684
1201080,0.7997
1201110,0.8575
1201140,0.8569
1201170,0.9249
1201200,0.6363
1201230,0.8847
1201260,0.6968
1201290,0.8498
1201320,0.7925
1201350,0.7697
1201380,0.8558
1201410,0.7615
1201440,0.8270
1201470,0.7919
1201500,0.8801
1201530,0.8567
1201560,0.8057
1201590,0.7602
1201620,0.6421
