id,h_avg
1303870,-0.8098
1303930,-0.8207
1303960,0.0349
1304020,-0.2362
1304050,-0.9479
1304110,-1.0551
1304140,0.0888
1304200,-1.0699
1304260,0.0003
1304320,-0.6475
1304380,-0.9920
1304410,-0.4514
1304440,-0.5972
1304620,-1.2671
1304770,-1.2800
1304890,-1.0931
1304980,-0.8538
1305040,-1.1368
1305310,-0.3603
1305370,-0.7759
1305390,-0.1284
1305430,-0.1811
1305550,-1.2717
1305700,-1.0811
1500030,-0.6521
1600030,-1.8007
1600060,-1.4683
1600270,-1.8495
1600300,-0.9348
1600360,-1.2625
1600480,-1.9172
1600510,-1.4732
1600600,-0.9782
1600660,-1.5446
1600780,0.1621
1600930,-1.2257
1600960,-1.8535
1601020,-1.2482
1601050,-1.2050
1601110,-1.8604
1601140,-0.8788
1601260,-1.9977
1601470,-1.0877
1601530,-1.8346
1601570,-1.5573
1601590,-1.4238
1601770,-1.5243
1601860,-0.3902
1601920,-1.0309
1601980,-1.7080
1602100,-0.7360
1602130,-1.3123
1602190,-1.2354
1602250,-1.5166
1602340,-1.4410
1602550,-1.1684
1602580,-1.4989
1602640,-0.7667
1602670,-0.2773
1602910,-1.3939
1602940,-1.6910
1602970,-1.6283
1603180,-2.4835
1603240,-0.9856
1603270,-2.3481
1603330,-0.7947
1603360,-1.4477
1603400,-1.1545
1603480,-1.7265
1700010,-1.4159
1700077,-0.9401
1700110,-2.2707
1700112,-1.0480
1700119,-1.1044
1700320,-1.2955
1703150,-1.2254
1703480,-0.4257
1703840,-0.3661
1703930,-1.0143
1703960,-1.5435
1704050,-0.7603
1704140,0.1191
1704560,-1.0308
1704680,-1.8998
1704710,-1.3911
1705050,-0.7249
1705220,-0.4411
1705310,-2.1161
1705760,-1.6001
1705790,-1.2019
1705910,-0.5255
1706000,-0.8335
1706060,-0.7248
1706090,-0.8743
1706270,-0.8774
1706480,-1.2279
1706510,-1.0095
1706750,-0.6135
1706930,-1.3120
1707170,-0.5991
1707290,-0.1244
1707320,0.5012
1707830,-0.0725
1708100,-1.0671
1708130,-0.9414
1708550,-1.0765
1708730,-1.0383
1709420,-0.8393
1709510,-1.9029
1709930,-0.8639
1709960,-1.2610
1709990,-1.0036
1710200,-1.8281
1710470,-0.5920
1710650,-1.2998
1711250,-0.3311
1711350,-0.6911
1711790,-1.1657
1711850,-0.6743
1712000,-1.2805
1712090,-1.9255
1712120,-0.6720
1712210,-1.2532
1712540,-0.3570
1713140,-1.4115
1713170,-1.4784
1713710,-1.0159
1713770,-1.1393
1713970,0.0503
1714100,-0.6486
1714460,0.0985
1714550,-0.4445
1715420,0.1950
1715480,-0.3059
1715700,0.9092
1715780,-0.4512
1715900,-1.5741
1715930,-0.0973
1716080,-0.6035
1716290,-0.9684
1716380,0.1388
1716410,-1.3008
1716800,-0.3058
1716920,-0.7057
1716950,-0.5293
1717040,-0.5310
1717280,-1.4850
1717520,-0.6936
