id,m_grd
22039,0.8655
22041,0.9066
22043,0.9060
22045,0.8635
22047,0.7919
22049,0.7773
22051,0.9022
22053,0.7058
22055,0.9383
22057,0.9891
22059,0.9349
22061,0.9713
22063,0.9091
22065,0.7531
22067,0.7867
22069,1.0647
22071,1.0701
22073,0.7799
22075,0.8711
22077,0.8448
22079,0.8108
22081,0.7693
22083,0.9155
22085,0.8620
22087,0.8539
22089,1.0353
22091,0.9509
22093,0.8039
22095,0.9545
22097,0.8851
22099,0.8190
22101,0.8319
22103,0.8903
22105,0.9187
22107,0.8104
22109,0.8412
22111,1.0619
22113,0.9227
22115,0.9378
22117,0.8012
22119,0.9330
22121,0.9884
22123,0.9467
22125,0.8521
22127,0.9775
23001,0.9165
23003,0.8156
23005,1.0012
23007,0.9354
23009,0.9811
23011,0.8430
23013,0.9338
23015,1.0438
23017,0.8479
23019,0.9164
23021,0.8303
23023,0.9112
23025,0.8927
23027,0.8605
23029,0.8826
23031,0.8645
24001,0.7456
24003,0.7550
24005,0.7265
24009,0.8026
24011,0.9377
24013,0.9710
24015,0.8513
24017,0.9050
24019,0.8291
24021,0.9485
24023,0.9553
24025,1.0294
24027,0.9274
24029,0.7666
24031,0.9351
24033,0.8076
24035,0.8879
24037,0.8668
24039,0.8510
24041,0.8376
24043,0.8688
24045,0.8144
24047,0.8871
24510,0.5783
25001,0.8449
25003,0.8445
25005,0.8527
25007,0.8801
25009,0.8867
25011,0.7766
25013,0.7780
25015,0.9224
25017,0.9879
25019,0.9408
25021,0.9286
25023,0.8896
25025,0.9311
25027,0.8994
26001,0.8441
26003,0.9770
26005,0.8576
26007,0.9836
26009,0.9234
26011,0.8620
26013,0.9096
26015,0.8760
26017,0.8824
26019,0.8662
26021,0.9859
26023,1.0422
26025,0.9033
26027,0.9403
26029,0.9498
26031,0.9169
26033,0.9149
26035,1.0279
26037,0.9369
26039,1.0171
26041,0.8228
26043,0.8969
26045,0.9488
26047,1.0092
26049,0.9134
26051,0.9811
26053,0.9031
26055,1.0098
26057,0.8822
26059,0.9568
26061,0.9624
26063,0.9249
26065,0.8752
26067,0.9335
26069,1.0117
26071,0.9647
26073,0.9228
26075,0.8887
26077,0.9190
26079,0.8604
26081,0.9188
26085,0.8517
26087,0.8698
26089,0.9824
26091,0.9524
26093,0.9191
26095,0.9873
26097,1.0183
26099,0.9292
26101,0.8671
26103,0.8790
26105,0.8967
26107,0.7418
26109,0.9332
26111,0.9966
26113,0.8313
26115,0.9342
26117,0.8773
26119,0.7391
26121,0.9141
26123,0.8832
26125,0.9467
26127,0.9971
26129,1.0297
26131,0.8385
26133,0.8907
26135,1.2626
26137,1.0633
26139,0.9809
26141,0.8287
26143,0.9393
26145,0.8914
26147,0.9363
26149,0.9429
26151,0.8681
26153,0.8571
26155,0.8594
26157,0.9335
26159,0.9122
26161,1.0516
26163,0.9448
26165,0.8165
27001,0.9358
27003,0.9307
27005,0.8389
27007,0.9909
27009,1.0026
27011,0.7116
27013,0.9205
27015,0.9753
27017,0.8414
27019,1.0061
27021,0.7817
27023,0.9791
27025,0.9364
27027,0.9988
27029,0.8610
27031,0.8976
27033,0.8732
27035,0.9468
27037,0.9079
27039,0.8701
27041,1.0382
27043,0.8376
27045,0.8583
27047,0.8292
27049,0.9584
27051,0.9580
27053,0.9906
27055,0.8853
27057,0.8630
27059,1.0115
27061,0.8833
27063,0.6439
27065,0.9405
27067,1.0555
27069,0.8943
27071,1.0063
27073,0.9230
27075,0.8995
27079,0.8956
27081,0.8549
27083,0.9890
27085,0.9663
27087,0.7094
27089,0.6877
27091,0.9119
27093,1.0122
27095,0.9434
27097,0.8916
27099,0.8845
27101,1.0235
27103,0.9639
27105,0.9207
27107,0.8802
27109,0.8934
27111,0.9606
27113,0.8910
27115,0.7529
27117,0.7729
27119,0.7396
27121,0.7729
27123,0.9346
27125,0.8306
27127,0.9133
27129,0.8200
27131,0.9686
27133,0.9489
27135,0.8853
27137,0.8280
27139,1.0516
27141,1.0998
27143,0.8842
27145,0.9748
27147,0.8898
27149,0.9087
27151,0.7192
27153,0.9057
27157,0.9911
27159,0.9135
27161,0.8079
27163,1.0357
27165,0.9371
27167,0.8805
27169,0.9964
27171,1.0069
27173,0.9374
28001,0.7780
28003,0.8146
28005,0.9830
28007,0.8089
28009,1.0567
28011,0.8327
28013,0.9091
28015,0.9855
28017,0.9597
28019,0.9342
28021,0.7512
28023,0.9706
28025,0.8867
28027,0.7957
28029,0.7638
28031,0.8376
28033,0.8763
28035,1.0417
28037,0.8544
28039,0.9981
28041,0.8884
28043,1.0964
28045,1.0123
28047,0.8863
28049,0.7637
28051,0.7658
28053,0.6361
28057,1.0237
28059,0.8662
28061,1.0243
28063,0.8002
28065,0.9823
28067,0.9424
28069,0.9569
28071,0.9675
28073,0.9097
28075,0.8902
28077,0.8613
28079,0.8378
28081,0.9342
28083,0.8457
28085,0.6888
28087,0.7739
28089,0.9378
28091,0.9555
28093,1.0696
28095,0.9546
28097,0.9702
28099,0.9177
28101,0.7992
28103,0.7074
28105,0.8270
28107,1.0328
28109,0.9243
28111,0.6738
28113,0.8726
28115,0.8869
28117,0.9329
28119,0.9262
28121,0.9856
28123,0.7770
28125,0.6889
28127,0.9675
28129,0.9200
28131,0.8916
28133,0.9845
28135,0.9213
28137,0.8939
28139,0.7898
28141,0.9088
28143,0.7771
28145,0.9315
28147,0.8632
28149,0.8679
28151,0.8498
28153,0.7553
28155,1.1152
28157,0.8941
28159,0.8683
28161,0.9427
28163,0.9158
29001,0.9072
29003,1.0253
29005,1.0680
29007,0.9504
29009,0.9304
29011,1.0553
29013,0.9135
29015,0.8100
29017,0.8898
29019,0.9363
29021,0.8685
29023,0.8099
29025,0.9791
29027,0.8513
29029,0.9623
29031,0.8351
29033,0.8651
29035,0.8728
29037,0.9512
29039,1.0045
29041,0.8288
29043,0.9835
29045,0.7477
29047,0.8965
29049,1.0557
29051,0.7179
29053,0.8985
29055,0.8260
29057,0.9377
29059,0.9863
29061,0.9734
29063,1.0884
29065,1.0355
29067,0.8756
29069,0.6067
29071,0.9278
29073,0.8986
29075,0.9678
29077,0.9214
29079,0.9996
29081,0.9877
29083,0.9607
29085,0.8843
29087,0.9356
29089,1.0159
29091,0.9221
29093,0.8811
29095,0.9067
29097,0.8131
29099,0.8483
29101,1.0080
29105,0.8510
29107,0.9743
29109,0.9272
29111,0.8487
29113,0.9209
29115,0.9936
29117,0.8203
29119,0.8865
29121,0.9012
29123,0.7849
29125,0.7650
29127,0.8341
29131,0.9478
29133,0.7750
29135,1.0041
29137,0.8369
29139,1.0068
29141,0.8305
29143,0.6354
29145,0.8408
29147,0.9600
29149,0.9258
29151,0.8829
29153,0.9699
