id,p_grd
32007,0.9577
32013,0.8419
32015,0.8539
32017,0.8663
32019,0.9793
32023,0.9714
32027,0.8367
32031,1.0081
32033,1.1753
32510,0.9389
33001,0.8967
33003,0.8119
33005,0.8267
33007,0.9081
33009,0.7959
33011,0.8363
33013,0.9191
33015,0.8224
33017,0.8380
33019,0.8201
34001,1.0110
34003,0.9416
34005,0.9656
34007,1.0038
34009,0.9926
34011,1.0068
34013,0.9052
34015,1.0024
34017,0.9857
34019,1.0441
34021,0.9959
34023,0.9159
34025,1.0354
34027,1.0203
34029,0.9564
34031,0.9947
34033,0.9977
34035,1.0548
34037,0.9788
34039,0.9531
34041,0.9444
35001,0.9174
35005,0.8720
35006,0.9655
35007,0.9223
35009,1.0135
35013,0.9726
35015,0.7950
35017,0.8301
35019,1.0682
35023,0.9150
35025,0.9322
35027,0.9235
35029,1.0096
35031,0.9771
35033,0.9069
35035,0.9410
35037,1.0049
35039,0.7946
35041,0.8953
35043,0.8964
35045,0.9415
35047,0.8441
35049,0.9259
35051,1.1170
35053,0.8338
35055,0.9455
35057,0.9727
35059,0.8377
35061,0.9646
36001,0.7462
36003,0.8638
36007,0.8858
36009,0.8175
36011,0.8922
36013,0.8086
36015,0.7360
36017,0.8446
36019,0.9190
36021,0.8247
36023,0.8968
36025,0.8106
36027,0.8589
36029,0.8674
36031,0.8471
36033,0.7876
36035,0.7877
36037,0.8452
36039,0.9690
36043,0.8298
36045,0.8003
36049,0.9151
36051,0.9652
36053,0.8546
36055,0.7721
36057,0.8579
36059,0.7810
36061,0.8801
36063,0.8194
36065,0.7693
36067,0.7914
36069,0.8951
36071,0.9023
36073,0.7940
36075,0.8880
36077,0.7996
36079,0.8979
36083,0.8266
36087,0.8237
36089,0.8237
36091,0.9184
36093,0.7525
36095,0.9032
36097,0.9199
36099,0.7891
36101,0.8701
36103,0.8900
36105,0.8339
36107,0.8092
36109,0.7976
36111,0.8093
36113,0.8443
36115,0.8744
36117,0.8746
36119,0.7138
36121,0.7782
36123,0.8513
37001,0.8282
37003,0.7356
37005,0.8729
37007,0.7187
37009,0.9919
37011,0.9127
37013,0.7575
37015,0.8587
37017,0.7169
37019,0.7497
37021,0.8902
37023,0.8855
37025,0.8527
37027,0.8772
37029,0.7735
37031,0.8195
37033,0.6598
37035,0.9130
37037,0.8973
37039,0.8837
37041,0.9391
37043,0.9625
37045,0.6934
37047,0.9029
37049,0.8410
37051,0.8103
37053,0.8241
37055,0.8139
37057,0.8614
37059,0.9050
37061,0.8000
37063,0.8124
37065,0.7756
37067,0.7538
37069,0.8185
37071,0.8082
37073,0.8185
37075,0.8281
37077,0.8604
37079,0.8067
