id,b_grd
2801560,1.0592
2801590,0.9145
2801620,0.8492
2801650,0.9444
2801680,1.0961
2801710,0.8776
2801740,0.8089
2801770,0.9496
2801800,0.9743
2801830,0.8879
2801860,0.9794
2801890,1.1718
2801950,1.0168
2801980,0.7711
2802010,0.9387
2802040,0.6404
2802070,1.0616
2802100,0.9156
2802160,0.8825
2802190,0.7331
2802220,0.8367
2802250,0.9568
2802280,0.9914
2802310,0.9752
2802340,0.7734
2802370,0.9334
2802400,0.9719
2802430,1.0540
2802460,0.8575
2802490,0.8912
2802520,0.9353
2802550,0.8713
2802580,0.8035
2802610,0.7098
2802640,0.8569
2802670,0.9932
2802700,0.8616
2802730,0.8948
2802760,0.8051
2802790,0.9688
2802820,1.0123
2802850,1.0820
2802880,1.0212
2802910,0.8480
2803000,0.8483
2803030,0.8090
2803060,0.8526
2803090,0.9255
2803120,0.7942
2803150,0.8552
2803180,0.6996
2803210,0.9572
2803240,0.8014
2803300,0.7491
2803360,0.9174
2803390,1.1358
2803420,0.8764
2803450,0.9812
2803480,0.9464
2803510,0.8365
2803520,0.9530
2803530,1.0854
2803570,0.7741
2803600,0.9691
2803630,1.0272
2803660,0.8497
2803690,0.9360
2803720,0.8656
2803780,0.8799
2803810,1.0138
2803830,1.0457
2803900,0.7654
2803930,0.8079
2803960,0.6844
2803990,1.0063
2804020,0.9761
2804050,1.0553
2804080,0.8494
2804110,0.7731
2804140,0.8629
2804170,0.8811
2804200,1.0845
2804230,0.9189
2804290,0.7925
2804320,0.9056
2804440,0.8981
2804470,0.9054
2804500,0.8622
2804530,0.7435
2804560,1.1490
2804590,0.9341
2804620,0.9150
2804650,1.1607
2804680,1.0347
2804710,0.8905
2804740,0.9951
2804770,1.0246
2804800,0.7578
2900004,0.6949
2901000,0.8469
2904620,0.8517
2905310,0.8762
2907120,0.6752
2907470,0.8174
2908250,0.7936
2908370,1.0839
2908670,0.8435
2909720,0.8914
2912010,0.8430
2912290,0.7729
2913140,0.7821
2913620,0.8804
2913650,0.7530
2913800,0.4700
2913830,0.8743
2914340,0.7477
2915480,0.8013
2916190,0.6499
2916290,0.8489
2916350,0.7726
2916400,0.9465
2916500,0.4222
2916770,0.7549
2917820,1.0155
2918300,0.9182
2918540,0.8609
2919890,0.7925
2920010,0.9373
2920670,0.9369
2922650,0.7090
2922800,0.8345
2923550,0.8863
2923580,0.9909
2923700,0.9274
2923730,0.9799
2925230,0.7623
2925450,0.7676
2926070,0.8844
