id,w_grd
0905040,1.0389
0905070,0.9816
0905100,1.0917
0905130,0.9682
0905160,1.1987
0905190,0.8607
0905220,0.9319
0905250,0.8357
0905280,0.9220
0905310,1.1578
0905370,1.0929
1000080,1.0371
1000170,1.0632
1000180,0.8932
1000190,0.8722
1000200,0.8411
1000230,0.8316
1000270,1.1444
1000680,0.9328
1000790,0.9873
1000810,0.8675
1001080,0.8007
1001240,0.8912
1001300,0.9992
1001530,0.7740
1001620,0.8381
1001850,0.5949
1100030,1.1680
1200060,0.7790
1200090,0.8476
1200120,0.7523
1200180,0.8951
1200210,0.8030
1200240,0.7826
1200270,0.7921
1200300,0.8327
1200330,1.0031
1200360,0.7553
1200390,0.8840
1200420,0.6140
1200450,0.7802
1200480,0.8298
1200510,0.7702
1200540,0.8797
1200570,0.7683
1200630,0.8891
1200660,0.8275
1200690,0.8385
1200720,0.7151
1200750,0.6224
1200780,0.6307
1200810,0.8209
1200840,0.8519
1200870,0.8648
1200900,0.7967
1200930,0.8401
1200960,0.7445
1201020,0.8934
1201050,0.7757
1201080,0.8358
1201110,0.9167
1201140,0.8284
1201170,0.9309
1201200,0.7286
1201230,0.9064
1201260,0.7670
1201290,0.8951
1201320,0.8736
1201350,0.7931
1201410,0.7905
1201440,0.8634
1201470,0.8682
1201500,0.9284
1201530,0.8946
1201560,0.8832
1201590,0.7952
1201620,0.6966
1201650,0.8492
1201680,0.9712
1201710,0.8319
1201740,0.9495
1201770,0.8238
1201800,0.7942
1201830,0.7497
1201860,0.8539
1201890,0.8475
1201920,0.8009
1201950,0.8163
1201980,0.8726
1202010,0.7947
1202012,1.0149
1202015,1.0277
1300001,0.9038
1300060,0.8736
1300090,0.8481
1300120,1.0274
1300150,0.8908
1300210,0.7746
1300240,0.9033
1300290,0.9316
1300330,0.7882
1300360,0.9242
1300390,0.8680
1300420,0.8309
1300440,0.9023
1300480,0.9586
1300510,0.9302
1300540,0.7985
1300570,0.9098
1300600,1.1406
1300630,1.0068
1300660,0.8434
1300690,0.9448
1300720,0.9077
1300750,0.9044
1300780,0.9494
1300810,0.9485
1300840,0.8447
1300870,0.9487
1300900,1.0266
1300930,1.0097
1300990,1.1045
1301020,0.9141
1301050,0.6408
1301080,0.8630
1301110,1.0086
1301140,1.0638
1301170,0.9801
1301230,0.8460
1301260,0.8869
1301290,1.0722
1301350,0.8930
1301380,0.7827
1301410,0.9817
1301440,0.8120
1301470,0.8753
1301500,0.9831
1301530,0.8243
1301560,0.8010
1301590,0.9210
1301620,0.9031
1301650,0.9890
1301680,1.1364
1301710,0.7846
1301740,0.9886
1301770,0.8303
1301830,0.9475
1301860,0.8839
1301890,0.8823
1301920,0.9536
1301950,0.8697
1301980,0.9793
1302010,0.9747
1302040,0.7957
1302070,0.9770
1302100,0.9708
1302130,1.0187
1302190,0.8910
1302220,1.0719
1302250,0.7507
1302280,1.0026
1302310,1.0072
1302340,1.2260
1302370,0.9719
1302400,0.9793
1302430,1.0150
1302460,0.8275
1302490,1.0259
1302520,0.8512
1302550,1.0664
1302580,1.0120
1302610,1.0429
1302670,0.9708
1302700,0.9299
1302730,0.9383
1302790,1.1985
1302820,0.9626
1302880,0.9017
1302910,0.7713
1302940,0.8724
1302970,0.8290
1303000,0.8909
1303030,1.0618
1303060,0.9163
1303090,0.7250
1303120,0.9130
1303150,0.9288
1303210,0.7955
1303240,0.8935
1303270,0.9309
1303300,0.8636
1303330,0.8923
1303360,0.8110
