id,b_ses
0629670,-2.0181
0629700,0.3708
0629850,-1.3177
0629910,0.8857
0629940,-0.6381
0630030,1.0908
0630180,-3.4832
0630210,-0.4676
0630250,1.7918
0630330,1.7449
0630450,2.3877
0630510,1.3312
0630600,-1.3719
0630630,-8.6646
0630660,0.7037
0630930,0.4059
0630990,-0.8378
0631180,-0.6499
0631320,-0.9302
0631530,0.8517
0631680,-0.8049
0631710,0.7115
0631860,-2.5355
0632010,1.6174
0632040,-0.5416
0632070,-0.3429
0632130,-1.9243
0632270,1.3994
0632310,1.0199
0632370,-1.1381
0632520,1.3431
0632550,-1.6835
0632610,1.3694
0632730,2.6306
0632760,0.6314
0633150,-0.0601
0633240,-2.4990
0633390,-2.0007
0633480,1.0116
0633510,-1.5554
0633570,1.9653
0633600,0.6694
0633630,0.0536
0633750,-1.2089
0633840,-2.5392
0633860,-0.8682
0633900,1.3663
0633930,-3.8219
0633980,-0.7505
0634170,-2.5491
0634230,-2.1710
0634290,3.0866
0634320,-1.4718
0634380,2.0018
0634410,-2.2844
0634425,1.7686
0634440,-2.7418
0634590,-0.0229
0634620,-2.1052
0634680,-0.3098
0634710,-1.2803
0634740,1.1970
0634800,0.5353
0634880,0.3884
0634920,-1.3170
0634980,-1.6707
0635090,-2.3357
0635110,-2.6062
0635130,1.4457
0635220,0.7317
0635250,-2.6456
0635310,-0.1522
0635360,2.6306
0635370,1.3106
0635430,-1.7426
0635590,2.6306
0635600,2.2800
0635670,-3.6214
0635700,0.1438
0635790,0.0757
0635810,-7.2423
0635830,-0.6463
0635880,-1.1776
0635970,1.0451
0636000,-5.1028
0636030,0.6578
0636210,1.0377
0636270,0.1543
0636390,-1.5313
