id,h_coh
2510500,-0.0348
2510770,-0.0457
2510890,-0.0257
2511010,-0.0631
2511130,0.0816
2511520,-0.0776
2511880,-0.0219
2512000,-0.0113
2512240,-0.0807
2512270,-0.0336
2512510,0.0753
2512630,0.0569
2512840,-0.0467
2513200,0.0308
2513230,0.0234
2600005,-0.0247
2600015,0.0548
2601950,0.0072
2602520,0.1011
2602820,0.0332
2603870,-0.0510
2604260,0.0712
2606270,0.0655
2606780,-0.0367
2608070,0.0300
2609570,0.1086
2609900,0.0804
2610620,0.0948
2611600,0.0662
2612000,-0.0278
2612150,0.0401
2614230,0.0240
2614520,-0.0351
2614610,0.0024
2616080,0.0138
2616110,0.0323
2616350,0.0502
2616380,0.0311
2616410,0.0329
2616440,0.0120
2616470,0.0179
2616500,0.0571
2617860,-0.0179
2617880,0.0417
2618420,0.0564
2618480,-0.0171
2618840,0.0245
2618990,-0.0543
2619100,0.0109
2619620,-0.0034
2619950,0.1046
2620160,-0.0188
2620280,0.1175
2620340,-0.0063
2620730,0.1016
2620850,0.0819
2621150,-0.0547
2621600,-0.0669
2621840,0.0180
2621870,0.0602
2622320,0.1234
2623460,0.0530
2623820,0.0594
2624150,0.0335
2624840,0.0050
2625560,-0.0344
2626760,0.0691
2628560,0.0276
2628740,0.0214
2628830,0.1569
2628950,0.0333
2629940,0.1443
2630090,0.0489
2630390,-0.0874
2630450,0.0776
2631320,0.0648
2632300,0.1550
2632340,-0.0484
2632370,0.0649
2633090,0.0898
2633540,0.1672
2633870,0.0354
2634470,0.0440
2635160,0.0433
2635310,-0.0035
2635520,0.0467
2635910,0.1195
2636485,0.0458
2636540,0.0160
2636570,0.0398
2636630,0.0006
2636660,0.1465
2700102,-0.0647
2700109,-0.0399
2700128,0.0817
2702970,0.0101
2703180,0.0539
2703450,-0.0089
2705790,-0.0170
2706240,-0.1413
2707290,-0.0316
2708100,0.0559
2708190,0.0452
2709510,-0.0315
2709720,0.0117
2711250,-0.1024
2711370,0.1796
2711760,0.0498
2711820,-0.0127
2712270,0.0457
2714220,0.0044
2714260,0.0424
