id,b_coh
37193,-0.0223
37195,-0.0481
38017,0.1171
38101,-0.0503
39003,0.0543
39007,0.0268
39017,0.0314
39023,0.0060
39025,-0.0221
39035,-0.0070
39041,0.1403
39043,-0.0437
39045,0.0722
39049,0.0107
39057,0.0517
39061,0.0120
39081,-0.0293
39085,-0.0102
39089,0.1016
39093,0.0767
39095,-0.0082
39099,0.0741
39101,-0.0696
39103,-0.0147
39109,0.0096
39113,-0.0394
39119,-0.0982
39133,0.0525
39139,0.1548
39141,-0.0264
39143,-0.0418
39151,-0.0268
39153,0.0119
39155,0.0250
39165,-0.0177
39173,-0.0689
40017,0.0870
40019,0.0342
40023,0.0027
40027,0.0230
40031,0.0359
40037,0.0617
40047,0.0219
40051,0.0179
40065,0.0800
40083,0.0904
40089,0.1408
40101,0.0564
40109,0.0279
40111,-0.0179
40119,0.1453
40125,-0.0307
40135,0.0786
40143,-0.0394
40145,0.0916
40147,-0.0519
41005,-0.0926
41047,-0.0645
41051,-0.0324
41067,0.0064
42001,0.0046
42003,-0.0255
42007,-0.0699
42011,-0.0282
42013,-0.0155
42017,0.0210
42019,0.0895
42021,-0.1378
42025,-0.0290
42029,0.0037
42039,0.1129
42041,-0.0131
42043,0.0144
42045,-0.0675
42049,-0.1205
42051,-0.0384
42055,0.0685
42069,-0.0948
42071,0.0549
42073,-0.1221
42075,-0.0251
42077,0.0246
42079,-0.1065
42081,-0.0351
42085,-0.0690
42089,0.0054
42091,0.0110
42095,-0.0465
42097,0.1084
42101,-0.0817
42107,-0.0505
42125,0.0246
42129,-0.0885
42133,-0.0236
44003,-0.0373
44005,0.0385
44007,0.0460
45001,0.0533
45003,-0.0669
45005,0.0879
45007,-0.0527
45009,0.0806
45011,0.0239
45013,0.0158
45015,-0.0249
45017,-0.0603
45019,-0.0176
45021,-0.0358
45023,0.0532
45025,0.0006
45027,0.0140
45029,0.0032
45031,0.0113
45033,0.0208
45035,0.0290
45037,-0.0085
45039,0.0245
45041,0.0040
45043,-0.0594
45045,0.0453
45047,-0.0247
45049,0.0773
45051,0.0105
45053,-0.0283
45055,-0.0145
45057,0.0132
45059,-0.0012
45061,0.0279
45063,0.0001
45065,-0.0556
45067,-0.0124
45069,-0.0069
45071,0.0661
45073,0.0106
45075,-0.0252
45077,-0.0355
45079,-0.0241
45081,-0.0711
45083,-0.0341
45085,-0.0995
45087,0.0115
45089,-0.0722
45091,0.0078
46099,0.0033
47001,0.1436
47003,0.1395
47009,0.1233
47011,0.0562
47017,0.0989
47023,0.2665
47031,0.0878
47033,0.2509
47037,0.1778
47043,0.1250
47045,0.1555
47047,0.0645
47051,0.0446
47053,0.2199
47055,0.2444
47063,0.1994
47065,0.1840
47069,0.1937
47075,0.2386
47077,0.0932
47079,0.1029
47093,0.1358
47097,0.2649
47103,-0.0773
47107,0.1643
47109,0.1238
47113,0.1078
47117,0.0646
47119,0.0751
47125,0.1320
47131,0.1445
47141,0.0532
47145,0.0811
47147,0.1232
47149,0.1626
47157,0.1498
47163,0.1378
47165,0.1859
47167,0.1652
47177,0.1377
47179,0.1557
47183,0.1656
47187,0.2324
