id,p_coh
1301230,-0.0104
1301260,0.0046
1301290,0.0354
1301350,0.1077
1301380,0.0456
1301410,0.0829
1301440,0.0218
1301470,0.0840
1301500,0.0682
1301530,0.0005
1301560,-0.0001
1301590,0.1238
1301620,-0.0426
1301650,0.0752
1301680,0.0626
1301710,0.0776
1301740,-0.0136
1301770,0.0054
1301800,-0.0176
1301830,0.0229
1301860,0.0949
1301870,-0.0202
1301890,-0.0493
1301920,0.0745
1301950,0.1216
1301980,0.0774
1302010,0.0863
1302040,0.0702
1302070,-0.0001
1302100,0.0632
1302130,0.0329
1302190,-0.0246
1302220,0.0316
1302250,0.0394
1302280,-0.0093
1302310,0.0754
1302340,0.0327
1302370,0.1454
1302400,0.0384
1302430,0.0716
1302460,0.0795
1302490,0.1315
1302520,0.0392
1302550,0.0470
1302580,0.0902
1302610,0.0382
1302640,-0.0701
1302670,0.1563
1302700,0.0802
1302730,-0.0091
1302790,0.1689
1302820,0.0109
1302880,0.0029
1302910,-0.0141
1302940,-0.0023
1302970,-0.0113
1303000,0.0288
1303030,0.0140
1303060,-0.0466
1303090,-0.0601
1303120,-0.0222
1303150,0.0720
1303210,0.0156
1303240,0.0330
1303270,0.0962
1303300,0.0107
1303330,0.0036
1303360,0.0280
1303390,0.0744
1303420,0.1033
1303450,-0.0691
1303480,0.1234
1303510,0.0621
1303540,0.0799
1303570,0.0286
1303600,0.0925
1303630,-0.0534
1303660,0.0377
1303690,0.0497
1303720,0.0192
1303750,-0.0345
1303780,-0.0467
1303840,-0.0018
1303870,0.0032
1303930,0.0748
1303960,0.0318
1303990,0.0618
1304020,0.0741
1304050,0.0638
1304080,0.0160
1304110,-0.0679
1304140,0.0233
1304170,0.0111
1304200,0.0791
1304220,0.0984
1304260,0.0486
1304290,-0.0527
1304320,0.0445
1304350,-0.0798
1304380,0.0513
1304410,0.0274
1304440,0.0183
1304470,0.0923
1304500,-0.0525
1304530,0.1372
1304540,0.0751
1304560,0.0536
1304590,0.0129
1304620,-0.0766
1304650,0.0538
1304770,0.1311
1304800,0.0477
1304830,0.0784
1304860,-0.0893
1304890,0.0931
1304950,0.1527
1304980,0.0977
1305040,0.0465
1305070,0.0331
1305100,0.0655
1305130,0.0416
1305190,0.0497
1305220,0.0748
1305250,0.1254
1305280,0.0914
1305310,0.0743
1305340,-0.0070
1305370,-0.0069
1305390,0.0689
1305430,0.1854
1305460,0.0230
1305490,-0.0494
1305550,0.1037
1305580,0.0887
1305640,0.1276
1305670,0.0199
1305700,0.0584
1305730,0.1017
1305760,0.1342
1305790,0.0251
1305850,0.0334
1500030,0.0473
1600001,-0.1233
1600002,-0.0169
1600030,-0.0434
1600060,-0.0246
1600139,0.0367
1600240,-0.0265
1600270,-0.0516
1600300,0.0188
1600360,0.0260
1600420,-0.0030
1600480,-0.0134
