id,wb_coh
47069,-0.0590
47075,-0.0625
47077,0.0560
47079,0.0431
47093,-0.0728
47097,-0.0147
47103,0.1638
47107,-0.0292
47109,-0.0261
47113,-0.0007
47117,0.0496
47119,0.0234
47125,-0.0110
47131,-0.1089
47141,0.0340
47145,0.0104
47147,0.0073
47149,-0.0374
47157,-0.0618
47163,-0.0343
47165,-0.0092
47167,-0.0350
47177,-0.0593
47179,-0.0535
47183,-0.0357
47187,-0.0808
47189,0.0172
48001,0.0471
48005,0.0811
48015,0.0434
48021,0.0043
48027,0.0310
48029,0.0476
48037,0.1110
48039,0.0062
48041,0.0402
48049,0.0548
48051,-0.0039
48055,0.0065
48063,-0.0248
48067,0.0084
48071,0.0181
48073,0.0611
48085,0.0158
48089,0.0312
48091,0.0263
48099,0.0113
48113,0.0612
48121,0.0603
48123,0.0327
48135,0.0287
48139,-0.0065
48141,0.0077
48145,0.1433
48147,0.0471
48149,-0.0221
48157,0.0095
48161,0.0296
48167,0.0398
48181,0.0490
48183,-0.0214
48185,0.0518
48187,0.0212
48199,-0.0242
48201,0.0815
48203,-0.0190
48209,0.0569
48213,-0.0078
48215,-0.0004
48217,0.1444
48223,0.0141
48225,0.0178
48227,0.0483
48231,0.0389
48241,0.0684
48245,0.1188
48251,-0.0021
48257,-0.0238
48277,-0.0399
48287,0.0211
48291,0.0019
48293,-0.0161
48303,0.1155
48309,0.0918
48313,0.0250
48315,0.0314
48321,0.1065
48329,0.0330
48331,-0.0017
48339,0.0188
48343,0.0100
48347,0.0933
48349,0.0531
48351,-0.0818
48355,0.0429
48361,-0.0010
48365,-0.0420
48367,0.1555
48373,0.0338
48375,0.0191
48387,-0.1086
48395,0.1274
48397,0.0249
48401,0.0207
48405,-0.0953
48407,-0.0858
48419,0.0072
48423,0.0324
48439,0.0189
48441,0.0429
48449,0.0350
48451,0.0383
48453,0.0528
48457,0.0204
48459,0.0779
48467,-0.0311
48469,0.0283
48471,0.0860
48473,0.1035
48477,0.0027
48481,0.0412
48485,0.0566
48491,0.0175
48499,0.0529
49011,-0.0010
49035,0.0397
49049,0.0220
49057,0.0441
50007,-0.0611
51001,0.0580
51007,0.0556
51009,-0.0202
51011,0.0226
51013,-0.0729
51019,0.0490
51025,-0.0633
51029,0.0338
51031,0.0148
51033,0.0302
51037,0.0852
51041,0.0101
51047,0.0149
51049,0.0469
51053,0.0125
51057,-0.0400
51059,0.0389
51061,0.0376
51065,-0.0154
51067,0.0002
51073,-0.0618
51075,0.0422
51083,0.0252
51085,0.0011
51087,0.0106
51089,-0.0152
51093,0.0183
51095,0.1021
51099,0.0146
51101,0.0357
51103,-0.0513
51107,-0.0305
51109,0.0434
51111,0.0451
51117,0.0835
51121,-0.0155
51127,0.1062
51131,-0.0313
51133,-0.0343
51135,0.1085
51137,-0.0066
51143,-0.0141
51145,0.1261
51147,0.0111
51149,-0.0471
51153,0.0095
51159,0.0556
51161,0.0462
51175,0.0347
51177,0.0197
51179,0.0049
51193,0.0703
51199,0.0127
51510,-0.0246
51540,0.0397
51550,0.0441
51570,0.0165
51590,0.0096
51595,0.0983
51630,0.0360
51650,-0.0123
51660,0.1287
51670,-0.0061
51680,0.0742
51683,0.0283
51685,-0.0353
51690,0.0365
51700,0.0422
51710,0.0593
51740,0.0146
51760,0.1255
51770,-0.0236
51775,0.0180
51790,0.0945
51800,-0.0131
51810,0.0554
51820,0.0607
51840,0.0515
53011,0.0412
53033,0.0276
53035,0.0295
53053,0.0247
53061,-0.0203
53063,0.0429
53067,0.0791
54003,0.0806
54011,0.0688
54019,0.0301
54033,-0.0346
54037,0.0492
54039,0.0318
54047,0.0325
54049,-0.0023
54055,0.0705
54061,0.0369
54069,0.0201
54081,0.0362
54107,0.0479
55009,0.0908
55025,0.0949
55035,0.0038
55039,0.0735
55059,0.1341
55063,0.1519
55073,0.0320
55079,0.1049
55087,0.0399
55089,0.0708
55101,0.1267
55105,0.0991
55117,0.1072
55127,-0.0063
55131,0.0143
55133,0.0918
55139,0.1756
56021,-0.0241
