id,f_coh
31123,0.0088
31125,0.1089
31127,0.2282
31131,-0.0176
31137,-0.0828
31139,0.1823
31141,0.0916
31143,0.0420
31145,0.0837
31147,0.0086
31151,0.0580
31153,0.0995
31155,0.1081
31157,0.0800
31159,0.1332
31161,0.0633
31173,0.1091
31177,0.0718
31179,0.1719
31185,0.1282
32001,-0.0054
32003,0.0315
32005,0.0296
32007,0.0235
32013,-0.0341
32015,-0.0205
32017,-0.0428
32019,0.0438
32023,-0.0411
32027,-0.0239
32031,0.0587
32033,0.0257
32510,-0.0160
33001,0.0239
33003,-0.0871
33005,0.0108
33007,-0.0973
33009,-0.0517
33011,0.0070
33013,-0.0140
33015,0.0318
33017,0.0534
33019,-0.0240
34001,0.0114
34003,0.0718
34005,0.0516
34007,0.0389
34009,0.0127
34011,-0.0012
34013,0.0484
34015,0.0285
34017,0.0581
34019,0.0229
34021,0.0705
34023,0.0440
34025,0.0524
34027,0.0526
34029,-0.0048
34031,0.0667
34033,0.0622
34035,0.0604
34037,0.0436
34039,0.0687
34041,0.0307
35001,0.0005
35005,-0.0304
35006,0.0272
35007,-0.0631
35009,0.0154
35013,0.0671
35015,-0.0265
35017,-0.0225
35019,0.0912
35023,0.1614
35025,0.0009
35027,-0.0589
35028,0.0234
35029,0.0420
35031,-0.0161
35035,0.0141
35037,0.0583
35039,-0.0216
35041,0.0773
35043,-0.0244
35045,-0.0282
35047,-0.0226
35049,0.0778
35051,0.0671
35053,0.0369
35055,0.0131
35057,-0.0037
35059,0.0144
35061,0.0350
36001,0.0093
36003,-0.0431
36007,-0.0315
36009,0.0001
36011,-0.0348
36013,-0.0828
36015,-0.0522
36017,-0.0405
36019,-0.0287
36021,-0.0103
36023,-0.0865
36025,-0.0269
36027,-0.0155
36029,-0.0128
36031,-0.0480
36033,-0.0783
36035,-0.0482
36037,0.0232
36039,-0.0488
36043,-0.0224
36045,-0.0324
