id,np_avg
0611870,0.6806
0611910,-1.8006
0612030,-0.4098
0612090,0.3460
0612180,-0.6973
0612210,0.9904
0612330,0.9200
0612630,-0.9653
0612690,-0.0622
0612750,2.0093
0612810,0.2219
0612840,0.0284
0612880,0.1695
0612930,-0.5598
0612960,1.0871
0613080,1.4285
0613140,2.0198
0613170,0.6590
0613200,-0.1786
0613290,-1.7805
0613360,0.3685
0613470,0.0140
0613500,0.7109
0613800,-0.9498
0613890,1.1780
0613920,-0.7226
0613980,-0.0639
0614010,0.2447
0614070,-0.0745
0614160,-0.1321
0614220,1.4724
0614250,0.1278
0614340,0.7524
0614370,0.5928
0614400,2.8429
0614520,0.8238
0614550,0.4161
0614700,0.7011
0614730,1.5777
0614790,0.5268
0614880,0.9713
0614940,0.9341
0614950,-0.1615
0615180,0.9471
0615240,1.4232
0615270,1.1791
0615390,0.0248
0615450,0.7006
0615510,1.6826
0615600,-1.3597
0615690,1.1610
0615780,-0.2027
0615840,1.4968
0616050,-0.9305
0616080,-1.9582
0616300,-0.5327
0616323,-0.8223
0616325,0.9138
0616470,0.2293
0616570,-0.2609
0616620,-0.0952
0616650,0.0286
0616680,-0.9215
0616740,-0.9216
0616860,-0.3444
0616920,-0.0652
0617040,1.7130
0617160,0.7238
0617190,3.1482
0617220,-0.1417
0617340,-0.2059
0617430,-0.2632
0617490,1.8266
0617850,-0.2851
0617880,0.4883
0618030,1.4632
0618210,-0.0354
0618390,-1.3253
0618510,0.6206
0618660,1.5830
0618730,0.0981
0618780,-0.1325
0618840,0.2862
0618870,-0.0619
0618990,-0.4189
0619140,0.0715
0619200,0.5461
0619260,-0.2183
0619320,-0.2278
0619380,2.0495
0619410,1.2061
0619440,-0.8503
0619490,0.4367
0619590,-0.5755
0619620,-0.7498
0619680,-0.2772
0619700,0.4169
0619770,0.6316
0619800,0.6512
0619890,-0.2319
0619950,-1.7696
0620040,0.4769
0620070,-1.3344
0620130,2.8548
0620190,-0.3572
0620250,0.5932
0620310,2.0499
0620370,1.7019
0620460,0.5465
0620520,0.1244
