id,f_coh
0623610,0.0076
0623800,0.0751
0623940,-0.0562
0623970,0.0643
0624000,0.0349
0624030,0.0262
0624090,-0.0154
0624180,0.0588
0624230,0.0676
0624300,0.0144
0624360,-0.0032
0624390,0.0745
0624480,-0.0375
0624500,0.1958
0624540,0.0476
0624570,0.1424
0624600,-0.0033
0624720,0.0769
0624750,0.0781
0624870,0.1050
0624900,0.0493
0625130,-0.0847
0625190,-0.0360
0625230,-0.0847
0625320,0.0103
0625350,-0.0639
0625470,0.0120
0625500,0.1353
0625530,0.0524
0625690,0.0634
0625740,0.1264
0625770,0.1339
0625800,0.0036
0625830,0.1162
0625860,0.0606
0625980,0.0253
0626040,-0.0297
0626100,0.1404
0626190,0.0517
0626220,0.0305
0626280,0.2003
0626370,0.0346
0626400,0.0773
0626490,0.0213
0626640,0.0074
0626670,0.0195
0626760,0.1168
0626820,0.0308
0626910,0.0402
0627030,-0.0487
0627060,0.1197
0627120,0.1260
0627180,0.0824
0627200,0.0945
0627240,0.0962
0627450,0.1082
0627480,0.0745
0627590,0.0418
0627690,0.0643
0627720,0.0613
0627780,-0.0343
0627810,0.1003
0627840,0.1250
0627850,0.1195
0627900,-0.0717
0627930,0.0731
0628050,-0.0252
0628080,-0.0045
0628140,0.0987
0628170,0.0280
0628250,0.0475
0628270,0.0138
0628320,0.0768
0628470,-0.0082
0628650,0.0565
0628680,0.1339
0628710,0.0524
0628860,0.1142
0628950,-0.0790
0629100,-0.0090
0629220,-0.0738
0629270,0.0958
0629280,0.0622
0629370,0.0853
0629400,-0.0605
0629430,0.0436
0629490,-0.0017
0629540,0.0465
0629550,-0.0153
0629580,0.0051
0629610,0.1609
0629640,0.0288
0629670,0.1006
0629700,0.0481
0629820,0.0427
0629850,0.0564
0629910,-0.0036
0629940,0.0037
0630030,0.0579
0630180,0.0875
0630230,0.0603
0630250,0.0895
0630330,0.1267
0630360,0.1553
0630450,-0.0534
0630510,0.0772
0630600,0.0782
0630630,-0.0091
0630660,0.1307
0630720,0.0727
0630780,0.0613
0630840,-0.0129
0630930,0.0155
0630990,0.0307
0631050,-0.1147
0631170,-0.0049
0631180,0.1298
0631290,-0.0615
0631320,0.0584
0631470,0.1865
0631530,0.1211
0631710,0.0473
0631740,0.1401
0631860,0.0370
0631980,0.0268
0632040,0.0890
0632070,0.1187
0632130,0.0460
0632160,0.0501
0632270,0.0855
0632310,0.1234
0632370,-0.0182
0632430,-0.1430
0632550,0.0538
0632610,-0.0412
0632640,-0.0383
0632710,0.0816
0632760,0.0674
0632880,0.1019
0633110,0.0266
0633150,0.0493
0633240,0.0715
0633390,-0.0013
0633480,0.1028
0633510,0.0531
0633570,0.0823
0633600,0.0758
0633660,0.0974
0633750,0.0379
0633840,-0.0089
0633860,0.0456
0633900,0.0444
0633930,-0.0228
0634170,0.0537
0634230,-0.0135
0634290,0.1989
0634320,0.0992
0634410,0.1232
0634425,0.0803
0634440,0.0859
0634590,0.0842
0634620,-0.0293
0634680,0.0426
0634710,0.0336
0634740,0.0387
0634800,0.1613
0634860,0.1460
0634880,0.0497
0634920,0.1448
0635010,0.0827
0635040,0.0500
0635070,-0.0032
0635090,-0.0012
0635130,0.1113
0635220,-0.0160
0635250,0.0229
0635310,0.0060
0635360,0.0842
0635430,0.1490
0635590,0.0724
0635600,0.1498
0635700,0.1464
0635730,0.0803
0635790,-0.0503
0635810,-0.0109
0635830,0.0574
0635880,0.0396
0635910,0.1148
0635970,0.0578
0636030,0.1415
0636180,0.0644
0636210,0.0957
0636270,-0.0261
0636600,0.2319
0636800,0.0987
0636805,-0.0642
0636820,0.1419
0636840,0.0130
0636970,-0.0058
0636990,0.0783
0637050,0.0719
0637110,0.0191
0637200,0.0512
0637230,0.0138
0637290,0.0961
0637320,-0.0296
0637350,0.1240
0637380,0.0708
0637500,0.1910
0637530,0.1171
0637560,-0.0028
0637590,0.0189
0637620,0.0368
