id,b_grd
45017,0.8908
45019,0.8843
45021,0.9641
45023,0.9661
45025,0.8950
45027,0.8893
45029,0.8860
45031,0.9054
45033,0.9402
45035,0.8945
45037,0.9652
45039,0.9892
45041,0.9226
45043,0.8435
45045,0.8972
45047,0.8735
45049,0.9581
45051,0.8866
45053,0.9656
45055,0.9591
45057,0.9568
45059,0.9580
45061,0.9555
45063,0.9587
45065,0.7659
45067,0.9296
45069,0.9644
45071,1.0042
45073,0.9752
45075,0.9507
45077,0.7956
45079,0.8663
45081,0.9173
45083,0.9304
45085,0.7712
45087,0.8507
45089,0.8791
45091,0.9997
46099,1.0584
47001,1.0448
47003,0.8547
47009,1.1522
47011,0.9772
47017,1.1898
47023,1.0197
47031,1.0878
47033,0.9711
47037,1.0365
47043,1.0350
47045,1.3042
47047,0.9730
47051,0.9407
47053,1.1504
47055,1.1056
47059,1.2042
47063,1.2015
47065,1.0601
47069,1.0376
47075,1.0886
47077,1.0986
47079,0.9461
47093,1.0409
47097,1.1282
47103,0.8609
47107,1.1176
47109,1.0663
47113,0.7811
47117,1.1376
47119,0.9244
47125,0.9564
47131,1.1289
47141,0.8887
47145,1.0631
47147,0.9386
47149,1.0777
47155,0.8826
47157,1.0250
47163,1.0318
47165,1.0024
47167,1.0979
47177,0.9782
47179,1.1521
47183,0.9975
47187,1.1435
47189,1.0679
48001,1.0099
48005,0.9831
48015,1.0172
48021,0.9489
48027,1.0153
48029,0.9885
48037,0.8579
48039,0.9656
48041,0.8907
48051,1.0338
48055,0.7753
48063,0.8918
48067,0.8731
48071,1.0960
48073,0.8661
48085,1.0904
48089,0.9631
48091,0.9973
48099,1.0822
48113,0.9343
48121,1.0056
48123,0.9606
48135,0.8895
48139,1.0137
48141,0.9760
48145,0.9895
48147,0.8725
48149,1.0540
48157,1.0334
48161,0.9680
48167,0.9722
48181,0.9196
48183,0.9708
48185,0.8825
48187,1.0844
48199,0.9326
48201,0.9874
48203,0.9280
48209,0.8781
48213,0.8927
48215,0.9617
48217,0.9631
48223,0.8718
48225,1.0054
48231,0.9806
48241,0.8526
48245,0.8109
48251,1.0382
48257,1.0343
48277,1.0060
48291,1.0227
48293,0.9363
48303,0.8977
48309,0.8570
48313,1.0731
48315,0.9780
48321,0.8327
48329,1.0065
48331,0.9711
48339,0.9970
48343,0.8906
48347,1.0318
48349,0.8857
48351,0.9090
48355,0.8781
48361,1.0366
48365,1.1231
48367,1.0124
48373,0.8696
48375,0.9844
48387,0.9521
48395,1.0149
48397,1.0232
48401,1.0199
48405,0.9859
48407,1.0400
48419,0.9201
48423,1.0393
48439,1.0209
48441,0.9684
48449,0.7740
48451,0.8111
48453,0.9616
48457,0.9734
48459,0.9731
48467,1.0232
48469,0.8587
48471,0.8588
48473,0.7850
48477,0.8978
48481,0.8482
48485,0.9546
48491,1.0371
49011,0.9915
49035,0.9169
49049,0.9700
49057,0.9650
50007,1.0032
51001,0.8666
51007,0.8906
51009,0.9669
51011,0.7529
51013,0.9676
51019,0.9502
51025,0.9235
51029,0.7934
51031,0.8845
51033,0.7665
51036,0.7692
51037,0.7375
51041,0.8306
51047,0.8855
51049,0.8699
51053,0.7216
51057,0.8849
51059,0.9209
51061,0.8246
51065,1.0039
51067,0.7394
51073,0.9236
51075,0.9824
51083,0.6104
51085,0.7931
51087,0.7404
51089,0.7483
51093,0.9237
51095,0.8344
51099,0.9185
51101,0.8061
51103,0.7755
51107,0.9902
51109,0.9070
51111,0.8270
51117,0.7589
51121,0.8128
51131,1.0204
51133,0.7830
51135,0.7730
51137,0.8827
51143,0.8820
51147,0.8842
51149,0.8240
51153,0.9164
51161,0.8615
51175,0.9924
51177,0.9168
51179,0.9729
51181,0.8398
51183,1.1282
51193,0.8167
51199,0.7916
51510,0.8253
51540,0.7525
51550,0.8629
51570,0.8630
51590,0.8122
51595,0.8385
51620,1.0112
51630,0.9697
51650,0.9727
51660,0.7293
51670,0.8902
51680,0.7389
51683,0.9741
51685,0.9794
51690,0.7125
51700,0.8360
51710,0.7739
51730,0.8032
51740,0.7535
51760,0.4809
51770,0.8974
51775,0.8680
51790,0.7603
51800,0.8704
51810,0.9268
51820,0.6964
51840,0.8454
53005,0.7672
53011,0.9905
53033,1.0289
53035,0.9205
53053,0.9500
53061,1.0421
53063,0.9064
53067,0.8988
54003,0.8586
54011,0.6621
54019,0.8099
54033,0.9130
54037,0.7991
54039,0.8818
54047,0.6946
54049,0.8346
54055,0.9486
54061,0.9742
54069,0.7228
54081,0.8013
54107,0.8950
55009,0.8377
55025,0.8687
55035,0.8835
55039,0.9244
55059,0.8159
55063,0.8709
55073,0.8976
55079,0.8644
55087,0.9908
55089,0.8057
55101,0.7629
55105,0.8369
55117,0.7964
55127,0.9862
55131,0.8259
55133,0.8933
55139,0.8278
56021,0.8774
