id,w_coh
29001,-0.0410
29003,-0.0315
29005,0.0643
29007,-0.0209
29009,-0.0515
29011,-0.0000
29013,0.0198
29015,-0.0518
29017,-0.0714
29019,-0.0138
29021,-0.0009
29023,-0.0320
29025,0.0025
29027,-0.0251
29029,-0.0393
29031,-0.0254
29033,0.0802
29035,-0.0558
29037,0.0161
29039,-0.0101
29041,-0.0516
29043,0.0415
29045,-0.1235
29047,0.0066
29049,0.0663
29051,-0.1326
29053,0.0046
29055,-0.0090
29057,-0.1264
29059,0.0270
29061,0.0181
29063,0.0713
29065,0.0072
29067,-0.0302
29069,-0.1142
29071,-0.0186
29073,-0.0446
29075,0.0548
29077,-0.0706
29079,0.0216
29081,-0.0075
29083,-0.0089
29085,0.0702
29087,0.0489
29089,0.0777
29091,-0.0609
29093,0.0469
29095,-0.0081
29097,-0.0395
29099,0.0033
29101,0.0157
29103,-0.0528
29105,-0.0196
29107,-0.0049
29109,-0.0163
29111,-0.0577
29113,0.0158
29115,0.0405
29117,0.0254
29119,-0.0848
29121,0.0340
29123,-0.0144
29125,-0.0210
29127,0.0106
29129,-0.0646
29131,0.0238
29133,-0.0638
29135,-0.0095
29137,-0.0690
29139,0.0429
29141,-0.0719
29143,-0.0773
29145,-0.0914
29147,-0.0491
29149,-0.0721
29151,0.0534
29153,-0.0171
29155,0.0289
29157,-0.0185
29159,0.0157
29161,0.0083
29163,0.0044
29165,0.0022
29167,-0.0226
29169,-0.0180
29171,-0.1292
29173,0.0544
29175,-0.0013
29177,0.0477
29179,0.0175
29181,-0.0442
29183,0.0742
29185,-0.0303
29186,-0.0524
29187,-0.0679
29189,0.0199
29195,0.0114
29197,-0.0549
29199,-0.0053
29201,-0.0322
29203,-0.0343
29205,-0.1022
29207,-0.0330
29209,-0.0712
29211,-0.0276
29213,0.0060
29215,-0.0919
29217,-0.0368
29219,0.1056
29221,0.0328
29223,-0.0773
29225,-0.0574
29227,0.0176
29229,-0.0593
29510,0.1581
30001,0.0452
30003,-0.0590
30005,-0.0103
30007,0.0030
30009,-0.0345
30013,-0.0280
30015,0.0405
30017,-0.0818
30021,-0.0402
30023,-0.1300
30025,0.0633
30027,0.0133
30029,0.0384
30031,0.0060
30035,0.0229
30039,-0.0290
30041,0.0158
30043,0.0250
30047,-0.0291
30049,0.0713
30053,0.0524
30057,-0.0031
30061,-0.0432
30063,-0.0128
30065,-0.0170
30067,-0.0481
30071,0.0740
30073,-0.1369
30077,0.0001
30081,-0.0123
30083,-0.0812
30085,-0.0927
30087,0.0002
30089,0.0079
30091,-0.3575
30093,0.0471
30095,-0.0211
30097,-0.0771
30099,-0.0137
30101,-0.0150
30105,-0.0758
30107,-0.0600
30111,-0.0542
31001,0.0453
31003,0.0599
31011,0.0566
31013,0.0576
31017,0.0155
31019,0.0778
31021,0.1335
31023,0.0613
31025,0.0768
31027,0.0534
31029,0.2249
31031,0.0731
31033,-0.0142
31035,0.1319
31037,0.0074
31039,0.0184
31041,0.0249
31043,0.1374
31045,-0.0030
31047,-0.0330
31049,-0.0603
31051,0.1955
31053,0.0346
31055,0.0795
31057,0.0672
31059,-0.0218
31063,0.0859
31065,0.0472
31067,0.0372
31071,-0.1189
31077,-0.0084
31079,0.0147
31081,0.0555
31089,0.0827
31093,0.0846
31095,0.1048
31097,0.0950
31099,-0.0444
31101,0.0166
31105,-0.0326
31107,0.0611
31109,0.0482
31111,0.0427
31119,0.1046
31121,-0.0729
31123,-0.0098
31125,0.1366
31127,0.1894
31129,-0.0322
31131,-0.0241
31133,0.0354
31135,0.1443
31137,-0.0726
31139,0.1919
31141,0.0642
31143,0.0794
31145,0.0945
31147,-0.0068
31151,0.0606
