id,h_avg
48037,-0.3301
48039,-0.3114
48041,-0.7594
48043,-0.8683
48047,-1.3390
48049,-0.6765
48051,-0.6192
48053,-0.9218
48055,-0.8702
48057,-0.5593
48059,-0.6914
48061,-0.4311
48063,-0.0470
48067,-0.0841
48069,-1.5427
48071,0.1014
48073,-0.5009
48075,-0.3625
48079,-1.7064
48083,-0.9843
48085,0.1605
48087,-0.0516
48089,-1.2992
48091,-0.0916
48093,-0.6993
48095,-1.2015
48097,-1.3121
48099,-0.1863
48103,-1.1279
48105,-1.2388
48107,-1.5172
48109,-1.2021
48111,-1.4513
48113,-0.6547
48115,-1.5301
48117,-1.2347
48121,-0.3456
48123,-1.0517
48127,-1.3750
48131,-1.4710
48133,-0.6076
48135,-1.3290
48137,-1.2548
48139,-0.3255
48141,-0.3047
48143,-0.9013
48145,-1.4993
48147,-0.7704
48149,-0.5693
48151,-1.0000
48153,-1.2356
48157,0.0459
48159,-0.1630
48161,-0.6241
48163,-2.1204
48165,-1.3604
48167,-0.2480
48169,-1.2824
48171,-0.7692
48175,-0.9001
48177,-0.8745
48179,-1.1777
48181,-0.3988
48183,-0.7643
48185,-1.3800
48187,-0.4469
48189,-0.8153
48191,-1.1901
48193,-0.4008
48195,-0.7121
48197,-1.1750
48199,-0.2237
48201,-0.4748
48203,-0.7050
48207,-1.1624
48209,-0.7280
48211,-0.4499
48213,-0.6564
48215,-0.6036
48217,-0.7347
48219,-0.8520
48221,-0.7537
48223,-0.8718
48225,-1.3174
48227,-2.0424
48229,-1.2001
48231,-0.8695
48233,-1.0834
48237,-1.2996
48239,-0.7808
48241,-0.5353
48245,-0.5792
48247,-1.1122
48249,-1.2559
48251,-0.8102
48253,-0.8043
48255,-0.7004
48257,-0.4095
48259,-0.1186
48265,-0.3406
48267,-0.9429
48271,-0.6169
48273,-1.0842
48275,-0.8890
48277,-0.6203
48279,-0.9769
48281,-0.9104
48283,-1.4103
48285,-0.2894
48287,-1.0354
48289,-0.7584
48291,-0.9963
48293,-1.1363
48295,-0.5987
48297,-0.5229
48299,-0.7378
48303,-0.8608
48305,-0.9156
48307,-0.7508
48309,-0.8724
48313,-0.6404
48317,-1.2434
48319,-0.4235
48321,-0.7783
48323,-0.1508
48325,-0.5192
48329,-1.2527
48331,-0.9422
48333,-0.9802
48335,-0.8883
48337,-0.9311
48339,-0.1772
48341,-0.8143
48343,-0.7174
48347,-1.3563
48349,-0.6078
48353,-0.4580
48355,-0.7072
48357,-1.2592
48361,-0.5566
48363,-1.0669
48365,-0.8291
48367,-0.5119
48369,-0.9570
48371,-1.0217
48373,-1.0776
48375,-0.3528
48377,-1.0342
48379,-0.1066
48381,0.1835
48383,-1.9722
48387,-0.4882
48389,-1.1692
48391,-0.7690
48395,-0.7692
48397,0.0463
48399,-1.3526
48401,-0.7991
48407,-1.8108
48409,-1.0143
48411,-0.9001
48413,-0.5890
48415,-1.7747
48419,-0.7604
48421,-0.5617
48423,-0.8245
48425,-0.4296
48427,-0.5652
48429,-0.6186
48435,-0.4715
48437,-0.9285
48439,-0.6693
48441,-0.5495
48445,-1.7570
48449,-0.6743
48451,-0.7907
48453,-0.7175
48455,-1.5716
48459,-0.6579
48461,-1.6402
48463,-1.4604
48465,-1.1078
48467,-0.7663
48469,-1.2292
48471,-0.9065
48473,-0.7004
48475,-1.0692
48477,-0.6456
48479,-0.9460
48481,-0.9101
48483,-1.1646
48485,-0.7555
48487,-0.8826
48489,-1.0754
48491,-0.1174
48493,-0.4148
48495,-1.9775
48497,-0.9205
48499,-0.7247
48501,-0.4052
48503,-1.1193
48505,-1.2266
48507,-1.9065
49001,-1.0501
49003,-1.4683
49005,-1.0546
49007,-1.0935
49011,-1.3137
49013,-1.9291
49019,-1.3374
49021,-0.8047
49027,-1.6578
49035,-1.6442
49039,-1.2136
49041,-1.6865
49043,-1.1943
49045,-1.3148
49047,-1.0824
49049,-1.0409
49051,-1.8170
49053,-1.1122
49057,-1.9266
50007,0.5806
51001,-0.5004
51013,-0.6807
51015,-0.8679
51019,-0.4197
51033,-0.2881
51035,-0.4168
51041,-0.1772
51047,-0.3673
51053,0.0141
51059,-0.5138
51061,-0.4701
51067,0.1656
51073,0.6785
51079,-0.9391
51085,0.1604
51087,-0.4116
51089,-0.4850
51095,0.1115
51107,-0.4614
51121,-0.0427
51131,-0.9190
51137,-0.0472
51143,-0.0769
51149,0.2901
51153,-0.3530
51161,0.2471
51171,-0.9653
51177,-0.2653
51179,-0.0626
51187,-0.4808
51193,-0.2291
51199,0.5550
51510,-1.3627
51540,-0.7526
51550,0.3915
51590,0.0508
51610,0.0576
51630,-0.5282
51640,-0.8125
51650,0.0528
51660,-1.1188
51670,-0.9015
51680,-0.1336
51683,-1.0476
51685,-0.7664
51700,-0.5739
51710,-0.5590
51740,0.1325
51760,-0.7660
51770,-0.1846
51800,0.2772
51810,0.1617
51820,-0.9655
51840,-0.9966
53001,-0.9145
53005,-1.1639
53007,-1.1869
53009,-0.3568
53011,-0.8869
53015,-1.1912
53017,-1.0997
53021,-1.4290
53025,-1.1859
53027,-1.2756
53029,-0.5433
53033,-0.6865
53035,-0.0859
53037,-1.6765
53039,-2.1138
53041,-0.9282
53045,-1.2790
53047,-1.4467
53049,-1.4215
53053,-0.6279
53057,-1.3026
53061,-0.6286
53063,-0.2234
53065,-0.7251
53067,-0.0625
53071,-1.5669
53073,-0.7258
53075,0.2266
53077,-1.3330
54003,-1.0279
54037,-0.7516
54039,-0.3978
55005,-0.9573
55009,-1.4163
55019,-1.4554
55021,-1.0686
55025,-1.3510
55027,-0.8239
55035,-0.5184
55039,-0.9834
55045,-0.8714
55047,-1.2696
55055,-1.1259
55059,-0.9939
55063,-0.4225
55071,-0.9923
55073,-0.9265
55079,-1.2554
55081,-0.8946
55087,-0.9431
55089,0.6497
55097,-0.7621
55101,-1.5614
55105,-0.9388
55109,-0.1197
55111,-0.7001
55117,-0.9291
55121,-1.5739
55127,-1.2472
